Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions
39,Ka Leody,Labor Win,PLM,2059.0,1379.0,95321.0,31521.0,1113.0,0.01,0.99,40.0,105.0,75124.0,112699.0
40,Koko Pimentel,HNP,PDP–Laban,2067.0,787.0,10590.0,2921.0,1728.0,0.09,0.91,21.0,996.0,1142641.0,89219111.0
41,Lady Ann Sahidulla,KDP,KDP,92.0,27.0,120.0,104.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Larry Gadon,KDP,KBL,3470.0,2554.0,37632.0,7631.0,2679.0,0.01,0.99,70.0,5518.0,199311407.0,11849773.0
42,Lito Lapid,,NPC,2945.0,2330.0,48624.0,25506.0,2077.0,0.01,0.99,39.0,262.0,11059.0,110924.0
43,Luther Meniano,WPP,WPP,68.0,24.0,140.0,30.0,50.0,0.47,0.53,15.0,15.0,19.0,55.0
44,Mar Roxas,Otso Diretso,Liberal,7876.0,4063.0,107196.0,25913.0,8461.0,0.03,0.97,208.0,21891.0,10783956.0,180310887.0
45,Marcelino Arias,WPP,WPP,122.0,62.0,253.0,48.0,58.0,0.26,0.74,37.0,44.0,4488.0,1398.0
46,Melchor Chavez,WPP,WPP,109.0,41.0,169.0,68.0,69.0,0.29,0.71,3.0,3.0,7.0,26.0
47,Nancy Binay,UNA,UNA,2467.0,1700.0,16335.0,2665.0,1948.0,0.06,0.94,38.0,1031.0,123718.0,2797064.0
48,Neri Colmenares,Labor Win,Makabayan,4840.0,2371.0,235784.0,53719.0,3164.0,0.04,0.96,53.0,969.0,235310724.0,7717813.0
49,Pia Cayetano,HNP,Nacionalista,2493.0,1625.0,39613.0,8850.0,2448.0,0.04,0.96,28.0,2611.0,56779700.0,5281970.0
50,Pilo Hilbay,Otso Diretso,Aksyon,1850.0,1173.0,103519.0,27877.0,3657.0,0.03,0.97,54.0,4269.0,4102641.0,17510089.0
51,Raffy Alunan,,Bagumbayan,1861.0,709.0,10398.0,2255.0,1190.0,0.01,0.99,255.0,5270.0,3956025.0,39904114.0
52,Richard Alfajora,KKK,Independent,56.0,24.0,132.0,53.0,37.0,0.0,1.0,40.0,41.0,59.0,256.0
53,RJ Javellana,KDP,KDP,183.0,69.0,443.0,109.0,89.0,0.27,0.73,45.0,88.0,881.0,2795.0
54,Romy Macalintal,Otso Diretso,Independent,958.0,560.0,48637.0,18006.0,1641.0,0.08,0.92,142.0,361.0,199060.0,37960.0
55,Samira Gutoc,Otso Diretso,Liberal,23354.0,9281.0,553773.0,133309.0,15660.0,0.01,0.99,70.0,1485.0,15110808.0,1100633.0
56,Serge Osmeña,,Independent,931.0,640.0,6817.0,1337.0,645.0,0.04,0.96,2.0,82.0,6654.0,10730.0
57,Shariff Albani,WPP,WPP,119.0,45.0,317.0,122.0,67.0,0.24,0.76,94.0,186.0,51597.0,11338.0
58,Sonny Angara,HNP,LDP,21352.0,5704.0,127505.0,24801.0,13976.0,0.01,0.99,55.0,1967.0,7753745.0,11237546.0
59,Sonny Matula,"Labor Win, WPP",WPP,421.0,172.0,4040.0,997.0,260.0,0.17,0.83,55.0,134.0,49055.0,218587.0
60,Toti Casino,KDP,KDP,835.0,307.0,3034.0,761.0,516.0,0.05,0.95,37.0,1011.0,3445869.0,665385.0
61,Vangie Abejo,KKK,Independent,13.0,13.0,118.0,102.0,7.0,0.0,1.0,21.0,22.0,84.0,108.0
